instant;dteday;season;weathersit;temp;atemp;hum;windspeed
197;16/07/11;3;1;0.686667;0.638263;0.585;0.208342
198;17/07/11;3;1;0.719167;0.669833;0.604167;0.245033
199;18/07/11;3;1;0.746667;0.703925;0.65125;0.215804
200;19/07/11;3;1;0.776667;0.747479;0.650417;0.1306
201;20/07/11;3;1;0.768333;0.74685;0.707083;0.113817
202;21/07/11;3;2;0.815;0.826371;0.69125;0.222021
203;22/07/11;3;1;0.848333;0.840896;0.580417;0.1331
204;23/07/11;3;1;0.849167;0.804287;0.5;0.131221
205;24/07/11;3;1;0.83;0.794829;0.550833;0.169171
206;25/07/11;3;1;0.743333;0.720958;0.757083;0.0908083
207;26/07/11;3;1;0.771667;0.696979;0.540833;0.200258
208;27/07/11;3;1;0.775;0.690667;0.402917;0.183463
209;28/07/11;3;1;0.779167;0.7399;0.583333;0.178479
210;29/07/11;3;1;0.838333;0.785967;0.5425;0.174138
211;30/07/11;3;1;0.804167;0.728537;0.465833;0.168537
212;31/07/11;3;1;0.805833;0.729796;0.480833;0.164813
213;01/08/11;3;1;0.771667;0.703292;0.550833;0.156717
214;02/08/11;3;1;0.783333;0.707071;0.49125;0.20585
215;03/08/11;3;2;0.731667;0.679937;0.6575;0.135583
216;04/08/11;3;2;0.71;0.664788;0.7575;0.19715
217;05/08/11;3;1;0.710833;0.656567;0.630833;0.184696
218;06/08/11;3;2;0.716667;0.676154;0.755;0.22825
219;07/08/11;3;1;0.7425;0.715292;0.752917;0.201487
220;08/08/11;3;1;0.765;0.703283;0.592083;0.192175
221;09/08/11;3;1;0.775;0.724121;0.570417;0.151121
222;10/08/11;3;1;0.766667;0.684983;0.424167;0.200258
223;11/08/11;3;1;0.7175;0.651521;0.42375;0.164796
224;12/08/11;3;1;0.708333;0.654042;0.415;0.125621
225;13/08/11;3;2;0.685833;0.645858;0.729583;0.211454
226;14/08/11;3;2;0.676667;0.624388;0.8175;0.222633
227;15/08/11;3;1;0.665833;0.616167;0.712083;0.208954
228;16/08/11;3;1;0.700833;0.645837;0.578333;0.236329
229;17/08/11;3;1;0.723333;0.666671;0.575417;0.143667
230;18/08/11;3;1;0.711667;0.662258;0.654583;0.233208
231;19/08/11;3;2;0.685;0.633221;0.722917;0.139308
232;20/08/11;3;1;0.6975;0.648996;0.674167;0.104467
233;21/08/11;3;1;0.710833;0.675525;0.77;0.248754
234;22/08/11;3;1;0.691667;0.638254;0.47;0.27675
235;23/08/11;3;1;0.640833;0.606067;0.455417;0.146763
236;24/08/11;3;1;0.673333;0.630692;0.605;0.253108
237;25/08/11;3;2;0.684167;0.645854;0.771667;0.210833
238;26/08/11;3;1;0.7;0.659733;0.76125;0.0839625
239;27/08/11;3;2;0.68;0.635556;0.85;0.375617
240;28/08/11;3;1;0.707059;0.647959;0.561765;0.304659
241;29/08/11;3;1;0.636667;0.607958;0.554583;0.159825
242;30/08/11;3;1;0.639167;0.594704;0.548333;0.125008
243;31/08/11;3;1;0.656667;0.611121;0.597917;0.0833333
244;01/09/11;3;1;0.655;0.614921;0.639167;0.141796
245;02/09/11;3;2;0.643333;0.604808;0.727083;0.139929
246;03/09/11;3;1;0.669167;0.633213;0.716667;0.185325
247;04/09/11;3;1;0.709167;0.665429;0.742083;0.206467
248;05/09/11;3;2;0.673333;0.625646;0.790417;0.212696
249;06/09/11;3;3;0.54;0.5152;0.886957;0.343943
250;07/09/11;3;3;0.599167;0.544229;0.917083;0.0970208
251;08/09/11;3;3;0.633913;0.555361;0.939565;0.192748
252;09/09/11;3;2;0.65;0.578946;0.897917;0.124379
253;10/09/11;3;1;0.66;0.607962;0.75375;0.153608
254;11/09/11;3;1;0.653333;0.609229;0.71375;0.115054
255;12/09/11;3;1;0.644348;0.60213;0.692174;0.088913
256;13/09/11;3;1;0.650833;0.603554;0.7125;0.141804
257;14/09/11;3;1;0.673333;0.6269;0.697083;0.1673
258;15/09/11;3;2;0.5775;0.553671;0.709167;0.271146
259;16/09/11;3;2;0.469167;0.461475;0.590417;0.164183
260;17/09/11;3;2;0.491667;0.478512;0.718333;0.189675
261;18/09/11;3;1;0.5075;0.490537;0.695;0.178483
262;19/09/11;3;2;0.549167;0.529675;0.69;0.151742
263;20/09/11;3;2;0.561667;0.532217;0.88125;0.134954
264;21/09/11;3;2;0.595;0.550533;0.9;0.0964042
265;22/09/11;3;2;0.628333;0.554963;0.902083;0.128125
266;23/09/11;4;2;0.609167;0.522125;0.9725;0.0783667
267;24/09/11;4;2;0.606667;0.564412;0.8625;0.0783833
268;25/09/11;4;2;0.634167;0.572637;0.845;0.0503792
269;26/09/11;4;2;0.649167;0.589042;0.848333;0.1107
270;27/09/11;4;2;0.636667;0.574525;0.885417;0.118171
271;28/09/11;4;2;0.635;0.575158;0.84875;0.148629
272;29/09/11;4;1;0.616667;0.574512;0.699167;0.172883
273;30/09/11;4;1;0.564167;0.544829;0.6475;0.206475
274;01/10/11;4;2;0.41;0.412863;0.75375;0.292296
275;02/10/11;4;2;0.356667;0.345317;0.791667;0.222013
276;03/10/11;4;2;0.384167;0.392046;0.760833;0.0833458
277;04/10/11;4;1;0.484167;0.472858;0.71;0.205854
278;05/10/11;4;1;0.538333;0.527138;0.647917;0.17725
279;06/10/11;4;1;0.494167;0.480425;0.620833;0.134954
280;07/10/11;4;1;0.510833;0.504404;0.684167;0.0223917
281;08/10/11;4;1;0.521667;0.513242;0.70125;0.0454042
282;09/10/11;4;1;0.540833;0.523983;0.7275;0.06345
283;10/10/11;4;1;0.570833;0.542925;0.73375;0.0423042
284;11/10/11;4;2;0.566667;0.546096;0.80875;0.143042
285;12/10/11;4;3;0.543333;0.517717;0.90625;0.24815
286;13/10/11;4;2;0.589167;0.551804;0.896667;0.141787
287;14/10/11;4;2;0.550833;0.529675;0.71625;0.223883
288;15/10/11;4;1;0.506667;0.498725;0.483333;0.258083
289;16/10/11;4;1;0.511667;0.503154;0.486667;0.281717
290;17/10/11;4;1;0.534167;0.510725;0.579583;0.175379
291;18/10/11;4;2;0.5325;0.522721;0.701667;0.110087
292;19/10/11;4;3;0.541739;0.513848;0.895217;0.243339
293;20/10/11;4;1;0.475833;0.466525;0.63625;0.422275
294;21/10/11;4;1;0.4275;0.423596;0.574167;0.221396
295;22/10/11;4;1;0.4225;0.425492;0.629167;0.0926667
296;23/10/11;4;1;0.421667;0.422333;0.74125;0.0995125
297;24/10/11;4;1;0.463333;0.457067;0.772083;0.118792
298;25/10/11;4;1;0.471667;0.463375;0.622917;0.166658
299;26/10/11;4;2;0.484167;0.472846;0.720417;0.148642
300;27/10/11;4;2;0.47;0.457046;0.812917;0.197763
301;28/10/11;4;2;0.330833;0.318812;0.585833;0.229479
302;29/10/11;4;3;0.254167;0.227913;0.8825;0.351371
303;30/10/11;4;1;0.319167;0.321329;0.62375;0.176617
304;31/10/11;4;1;0.34;0.356063;0.703333;0.10635
305;01/11/11;4;1;0.400833;0.397088;0.68375;0.135571
306;02/11/11;4;1;0.3775;0.390133;0.71875;0.0820917
307;03/11/11;4;1;0.408333;0.405921;0.702083;0.136817
308;04/11/11;4;2;0.403333;0.403392;0.6225;0.271779
309;05/11/11;4;1;0.326667;0.323854;0.519167;0.189062
310;06/11/11;4;1;0.348333;0.362358;0.734583;0.0920542
311;07/11/11;4;1;0.395;0.400871;0.75875;0.057225
312;08/11/11;4;1;0.408333;0.412246;0.721667;0.0690375
313;09/11/11;4;1;0.4;0.409079;0.758333;0.0621958
314;10/11/11;4;2;0.38;0.373721;0.813333;0.189067
315;11/11/11;4;1;0.324167;0.306817;0.44625;0.314675
316;12/11/11;4;1;0.356667;0.357942;0.552917;0.212062
317;13/11/11;4;1;0.440833;0.43055;0.458333;0.281721
318;14/11/11;4;1;0.53;0.524612;0.587083;0.306596
319;15/11/11;4;2;0.53;0.507579;0.68875;0.199633
320;16/11/11;4;3;0.456667;0.451988;0.93;0.136829
321;17/11/11;4;2;0.341667;0.323221;0.575833;0.305362
322;18/11/11;4;1;0.274167;0.272721;0.41;0.168533
323;19/11/11;4;1;0.329167;0.324483;0.502083;0.224496
324;20/11/11;4;2;0.463333;0.457058;0.684583;0.18595
325;21/11/11;4;3;0.4475;0.445062;0.91;0.138054
326;22/11/11;4;3;0.416667;0.421696;0.9625;0.118792
327;23/11/11;4;2;0.440833;0.430537;0.757917;0.335825
328;24/11/11;4;1;0.373333;0.372471;0.549167;0.167304
329;25/11/11;4;1;0.375;0.380671;0.64375;0.0988958
330;26/11/11;4;1;0.375833;0.385087;0.681667;0.0684208
331;27/11/11;4;1;0.459167;0.4558;0.698333;0.208954
332;28/11/11;4;1;0.503478;0.490122;0.743043;0.142122
333;29/11/11;4;2;0.458333;0.451375;0.830833;0.258092
334;30/11/11;4;1;0.325;0.311221;0.613333;0.271158
335;01/12/11;4;1;0.3125;0.305554;0.524583;0.220158
336;02/12/11;4;1;0.314167;0.331433;0.625833;0.100754
337;03/12/11;4;1;0.299167;0.310604;0.612917;0.0957833
338;04/12/11;4;1;0.330833;0.3491;0.775833;0.0839583
339;05/12/11;4;2;0.385833;0.393925;0.827083;0.0622083
340;06/12/11;4;3;0.4625;0.4564;0.949583;0.232583
341;07/12/11;4;3;0.41;0.400246;0.970417;0.266175
342;08/12/11;4;1;0.265833;0.256938;0.58;0.240058
343;09/12/11;4;1;0.290833;0.317542;0.695833;0.0827167
344;10/12/11;4;1;0.275;0.266412;0.5075;0.233221
345;11/12/11;4;1;0.220833;0.253154;0.49;0.0665417
346;12/12/11;4;1;0.238333;0.270196;0.670833;0.06345
347;13/12/11;4;1;0.2825;0.301138;0.59;0.14055
348;14/12/11;4;2;0.3175;0.338362;0.66375;0.0609583
349;15/12/11;4;2;0.4225;0.412237;0.634167;0.268042
350;16/12/11;4;2;0.375;0.359825;0.500417;0.260575
351;17/12/11;4;2;0.258333;0.249371;0.560833;0.243167
352;18/12/11;4;1;0.238333;0.245579;0.58625;0.169779
353;19/12/11;4;1;0.276667;0.280933;0.6375;0.172896
354;20/12/11;4;2;0.385833;0.396454;0.595417;0.0615708
355;21/12/11;1;2;0.428333;0.428017;0.858333;0.2214
356;22/12/11;1;2;0.423333;0.426121;0.7575;0.047275
357;23/12/11;1;1;0.373333;0.377513;0.68625;0.274246
358;24/12/11;1;1;0.3025;0.299242;0.5425;0.190304
359;25/12/11;1;1;0.274783;0.279961;0.681304;0.155091
360;26/12/11;1;1;0.321739;0.315535;0.506957;0.239465
361;27/12/11;1;2;0.325;0.327633;0.7625;0.18845
362;28/12/11;1;1;0.29913;0.279974;0.503913;0.293961
363;29/12/11;1;1;0.248333;0.263892;0.574167;0.119412
364;30/12/11;1;1;0.311667;0.318812;0.636667;0.134337
365;31/12/11;1;1;0.41;0.414121;0.615833;0.220154
366;01/01/12;1;1;0.37;0.375621;0.6925;0.192167
367;02/01/12;1;1;0.273043;0.252304;0.381304;0.329665
368;03/01/12;1;1;0.15;0.126275;0.44125;0.365671
369;04/01/12;1;2;0.1075;0.119337;0.414583;0.1847
370;05/01/12;1;1;0.265833;0.278412;0.524167;0.129987
371;06/01/12;1;1;0.334167;0.340267;0.542083;0.167908
372;07/01/12;1;1;0.393333;0.390779;0.531667;0.174758
373;08/01/12;1;1;0.3375;0.340258;0.465;0.191542
374;09/01/12;1;2;0.224167;0.247479;0.701667;0.0989
375;10/01/12;1;1;0.308696;0.318826;0.646522;0.187552
376;11/01/12;1;2;0.274167;0.282821;0.8475;0.131221
377;12/01/12;1;2;0.3825;0.381938;0.802917;0.180967
378;13/01/12;1;1;0.274167;0.249362;0.5075;0.378108
379;14/01/12;1;1;0.18;0.183087;0.4575;0.187183
380;15/01/12;1;1;0.166667;0.161625;0.419167;0.251258
381;16/01/12;1;1;0.19;0.190663;0.5225;0.231358
382;17/01/12;1;2;0.373043;0.364278;0.716087;0.34913
383;18/01/12;1;1;0.303333;0.275254;0.443333;0.415429
384;19/01/12;1;1;0.19;0.190038;0.4975;0.220158
385;20/01/12;1;2;0.2175;0.220958;0.45;0.20275
386;21/01/12;1;2;0.173333;0.174875;0.83125;0.222642
387;22/01/12;1;2;0.1625;0.16225;0.79625;0.199638
388;23/01/12;1;2;0.218333;0.243058;0.91125;0.110708
389;24/01/12;1;1;0.3425;0.349108;0.835833;0.123767
390;25/01/12;1;1;0.294167;0.294821;0.64375;0.161071
391;26/01/12;1;2;0.341667;0.35605;0.769583;0.0733958
392;27/01/12;1;2;0.425;0.415383;0.74125;0.342667
393;28/01/12;1;1;0.315833;0.326379;0.543333;0.210829
394;29/01/12;1;1;0.2825;0.272721;0.31125;0.24005
395;30/01/12;1;1;0.269167;0.262625;0.400833;0.215792
396;31/01/12;1;1;0.39;0.381317;0.416667;0.261817
397;01/02/12;1;1;0.469167;0.466538;0.507917;0.189067
398;02/02/12;1;2;0.399167;0.398971;0.672917;0.187187
399;03/02/12;1;1;0.313333;0.309346;0.526667;0.178496
400;04/02/12;1;2;0.264167;0.272725;0.779583;0.121896
401;05/02/12;1;2;0.265833;0.264521;0.687917;0.175996
402;06/02/12;1;1;0.282609;0.296426;0.622174;0.1538
403;07/02/12;1;1;0.354167;0.361104;0.49625;0.147379
404;08/02/12;1;2;0.256667;0.266421;0.722917;0.133721
405;09/02/12;1;1;0.265;0.261988;0.562083;0.194037
406;10/02/12;1;2;0.280833;0.293558;0.54;0.116929
407;11/02/12;1;3;0.224167;0.210867;0.73125;0.289796
408;12/02/12;1;1;0.1275;0.101658;0.464583;0.409212
409;13/02/12;1;1;0.2225;0.227913;0.41125;0.167283
410;14/02/12;1;2;0.319167;0.333946;0.50875;0.141179
411;15/02/12;1;1;0.348333;0.351629;0.53125;0.1816
412;16/02/12;1;2;0.316667;0.330162;0.752917;0.091425
413;17/02/12;1;1;0.343333;0.351629;0.634583;0.205846
414;18/02/12;1;1;0.346667;0.355425;0.534583;0.190929
415;19/02/12;1;2;0.28;0.265788;0.515833;0.253112
416;20/02/12;1;1;0.28;0.273391;0.507826;0.229083
417;21/02/12;1;1;0.287826;0.295113;0.594348;0.205717
418;22/02/12;1;1;0.395833;0.392667;0.567917;0.234471
419;23/02/12;1;1;0.454167;0.444446;0.554583;0.190913
420;24/02/12;1;2;0.4075;0.410971;0.7375;0.237567
421;25/02/12;1;1;0.290833;0.255675;0.395833;0.421642
422;26/02/12;1;1;0.279167;0.268308;0.41;0.205229
423;27/02/12;1;1;0.366667;0.357954;0.490833;0.268033
424;28/02/12;1;1;0.359167;0.353525;0.395833;0.193417
425;29/02/12;1;2;0.344348;0.34847;0.804783;0.179117
426;01/03/12;1;1;0.485833;0.475371;0.615417;0.226987
427;02/03/12;1;2;0.353333;0.359842;0.657083;0.144904
428;03/03/12;1;2;0.414167;0.413492;0.62125;0.161079
429;04/03/12;1;1;0.325833;0.303021;0.403333;0.334571
430;05/03/12;1;1;0.243333;0.241171;0.50625;0.228858
431;06/03/12;1;1;0.258333;0.255042;0.456667;0.200875
432;07/03/12;1;1;0.404167;0.3851;0.513333;0.345779
433;08/03/12;1;1;0.5275;0.524604;0.5675;0.441563
434;09/03/12;1;2;0.410833;0.397083;0.407083;0.4148
435;10/03/12;1;1;0.2875;0.277767;0.350417;0.22575
436;11/03/12;1;1;0.361739;0.35967;0.476957;0.222587
437;12/03/12;1;1;0.466667;0.459592;0.489167;0.207713
438;13/03/12;1;1;0.565;0.542929;0.6175;0.23695
